"Serial_interval","Probability"
0,0.000533998049849793
1,0.0052419013810025
2,0.0136183113418658
3,0.0226621243291393
4,0.031000376670527
5,0.0380212674228298
6,0.0435030624731556
7,0.0474394379082191
8,0.0499414036497927
9,0.0511787046081614
10,0.0513441636140996
11,0.050632180981087
12,0.0492262324817508
13,0.0472921507862771
14,0.0449751135022064
15,0.0423989683922049
16,0.0396669840136157
17,0.036863418041938
18,0.0340555009127833
19,0.0312955724767816
20,0.0286232052250156
21,0.0260672131461465
22,0.0236474897241069
23,0.0213766483536749
24,0.0192614579723724
25,0.0173040790916436
26,0.0155031128551794
27,0.0138544798142603
28,0.0123521468926089
29,0.0109887212969168
30,0.00975592946306444
31,0.0086449978952325
32,0.00764695121957067
33,0.00675284111448124
34,0.00595391811362019
35,0.00524175668000791
36,0.00460834246447751
37,0.00404612931241138
38,0.00354807237842473
39,0.00310764264903163
40,0.00271882725208963
41,0.00237611913912844
42,0.00207449905083642
43,0.00180941210460525
44,0.00157674086377698
45,0.00137277634929529
46,0.00119418812486648
47,0.00103799431649847
48,0.00090153220746529
49,0.000782429872433706
50,0.000678579172777145
51,0.00058811032300135
52,0.000509368150574639
53,0.000440890103906526
54,0.000381386012037901
55,0.000329719561667788
56,0.000284891429831492
57,0.000246023991688545
58,0.000212347510679652
59,0.000183187711293514
60,0.000157954631641777
61,0.000136132652996021
62,0.00011727160560742
63,0.000100978853878476
64,8.6912268789009e-05
65,7.47740010045391e-05
66,6.43049740118306e-05
67,5.52800227022799e-05
68,4.75036088856374e-05
69,4.08060511369818e-05
70,3.50402120685686e-05
71,3.00785915138438e-05
72,2.58107791749417e-05
73,2.21412249962765e-05
74,1.89872898776017e-05
75,1.62775433323085e-05
76,1.39502783401388e-05
77,1.19522169523995e-05
78,1.02373832000672e-05
79,8.76612255088288e-06
80,7.50424958176387e-06
81,6.42230769905828e-06
82,5.49492667257385e-06
83,4.70026547053478e-06
84,4.01952941135762e-06
85,3.43655200298603e-06
86,2.93743303887563e-06
87,2.51022557769237e-06
88,2.1446653662243e-06
89,1.83193708548651e-06
90,1.56447252088664e-06
91,1.33577638981251e-06
92,1.14027611421423e-06
93,9.73192310765922e-07
94,8.30427195152023e-07
95,7.08468467205528e-07
96,6.04306566514018e-07
97,5.15363469467282e-07
98,4.39431443658519e-07
99,3.74620388593275e-07
100,3.19312576801882e-07
